-12.0,-11.0,11.0,0.0,0.0,-11.0,-11.0,-11.0,-12.0,-11.0,-11.0,0.0
11.0,-6.0,12.0,0.0,-11.0,-11.0,11.0,0.0,11.0,11.0,11.0,0.0
-11.0,-12.0,-12.0,0.0,11.0,-10.0,11.0,-11.0,-11.0,11.0,11.0,0.0
0.0,0.0,0.0,-12.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0
0.0,11.0,-11.0,0.0,-2.0,-11.0,11.0,0.0,11.0,-11.0,-11.0,9.0
11.0,11.0,10.0,0.0,11.0,-6.0,11.0,11.0,11.0,11.0,11.0,11.0
11.0,-11.0,-11.0,0.0,-11.0,-11.0,-12.0,-11.0,-11.0,11.0,8.0,-11.0
11.0,0.0,11.0,10.0,0.0,-11.0,11.0,-12.0,0.0,11.0,11.0,0.0
11.0,-11.0,11.0,0.0,-11.0,-11.0,11.0,0.0,-6.0,11.0,-11.0,8.0
11.0,-11.0,-11.0,0.0,11.0,-11.0,-11.0,-11.0,-11.0,-12.0,-11.0,10.0
11.0,-11.0,-11.0,0.0,11.0,-11.0,-8.0,-11.0,11.0,11.0,-12.0,-11.0
0.0,0.0,0.0,0.0,-9.0,-11.0,11.0,0.0,-8.0,-10.0,11.0,-12.0
